Exp Date,name,location,Temp,pH,Month,Free_Cl,Cl_Class,ATP,CFU,HPC_fail,Criteria,Type,Culturability,LNA,HNA,ICC_2.5log,ICC_3.0log,ICC_3.5log,ICC_4.0log,ICC_4.5log,ratio,Shannon,Simpson,ICC,2.1 log,2.2 log,2.3 log,2.4 log,2.5 log,2.6 log,2.7 log,2.8 log,2.9 log,3.0 log,3.1 log,3.2 log,3.3 log,3.4 log,3.5 log,3.6 log,3.7 log,3.8 log,3.9 log,4.0 log,4.1 log,4.2 log,4.3 log,4.4 log,4.5 log,4.6 log,4.7 log,4.8 log,4.9 log,5.0 log,% 2.1 log,% 2.2 log,% 2.3 log,% 2.4 log,% 2.5 log,% 2.6 log,% 2.7 log,% 2.8 log,% 2.9 log,% 3.0 log,% 3.1 log,% 3.2 log,% 3.3 log,% 3.4 log,% 3.5 log,% 3.6 log,% 3.7 log,% 3.8 log,% 3.9 log,% 4.0 log,% 4.1 log,% 4.2 log,% 4.3 log,% 4.4 log,% 4.5 log,% 4.6 log,% 4.7 log,% 4.8 log,% 4.9 log,% 5.0 log
2022. 4. 1,B0401 C,C,21.4,7.41,4,0.2,0.2,29,0,0,Pass,Stagnant,0.00%,562,32,474,88,30,2,0,0.057,2.098318,0.830679,594,190,104,72,52,56,20,34,16,10,8,16,6,4,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,32%,18%,12%,9%,9%,3%,6%,3%,2%,1%,3%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 1,B0401 CF,C,13.1,7.42,4,0.27,0.3,26.2,0,0,Pass,Flushed,0.00%,826,46,696,130,36,8,2,0.056,2.126015,0.827911,872,286,142,116,92,60,40,28,20,26,16,12,12,8,2,2,2,0,2,2,2,0,2,0,0,0,0,0,0,0,0,33%,16%,13%,11%,7%,5%,3%,2%,3%,2%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 1,A0401 B,B,30.4,7.85,4,0.01,0,51.7,1292,1,Fail,Stag+In,5.35%,9512,14634,1864,7648,11860,2662,110,1.538,2.7199,0.922718,24146,324,290,330,332,588,930,1314,1470,1786,2148,2630,2862,2710,2032,1626,1340,786,310,172,54,40,22,18,16,14,0,2,0,0,0,1%,1%,1%,1%,2%,4%,5%,6%,7%,9%,11%,12%,11%,8%,7%,6%,3%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 1,A0401 BF,B,31,7.87,4,0.16,0.2,24.2,0,0,Pass,Flush+In,0.00%,1560,298,792,768,268,26,4,0.191,2.655313,0.922972,1858,188,110,132,178,184,178,172,138,144,136,86,78,50,28,26,8,4,12,2,0,2,0,0,2,0,0,0,0,0,0,10%,6%,7%,10%,10%,10%,9%,7%,8%,7%,5%,4%,3%,2%,1%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 1,A0401 C,C,30,7.79,4,0.2,0.2,16.5,0,0,Pass,Stag+In,0.00%,1868,632,1312,556,418,208,6,0.338,2.71855,0.910718,2500,540,276,196,168,132,122,112,102,136,84,80,96,94,90,58,52,40,46,46,24,6,0,0,0,0,0,0,0,0,0,22%,11%,8%,7%,5%,5%,4%,4%,5%,3%,3%,4%,4%,4%,2%,2%,2%,2%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 1,A0401 CF,C,29.9,7.82,4,0.27,0.3,12.5,0,0,Pass,Flush+In,0.00%,460,30,392,68,22,6,0,0.065,2.095421,0.822804,490,160,94,66,44,28,30,12,8,6,12,4,8,6,2,2,2,0,0,0,4,0,0,0,0,0,0,0,0,2,0,33%,19%,13%,9%,6%,6%,2%,2%,1%,2%,1%,2%,1%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 4,B0404 B,B,19.7,7.21,4,0.02,0,11.6,40,0,Pass,Stagnant,1.13%,3408,134,2014,1394,126,6,2,0.039,2.321198,0.887452,3542,292,308,372,456,586,566,350,276,120,82,62,28,18,10,8,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,8%,9%,11%,13%,17%,16%,10%,8%,3%,2%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 4,B0404 BF,B,12.8,7.07,4,0.19,0.2,12.4,0,0,Pass,Flushed,0.00%,1068,100,762,306,92,8,0,0.094,2.373706,0.879864,1168,286,176,118,80,102,70,58,70,56,52,30,32,18,12,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,24%,15%,10%,7%,9%,6%,5%,6%,5%,4%,3%,3%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 4,B0404 C,C,23,7.15,4,0.03,0,11.1,0,0,Pass,Stagnant,0.00%,1828,444,964,864,420,24,0,0.243,2.641502,0.922589,2272,302,202,152,152,156,176,186,182,190,130,146,136,72,38,28,10,10,4,0,0,0,0,0,0,0,0,0,0,0,0,13%,9%,7%,7%,7%,8%,8%,8%,8%,6%,6%,6%,3%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 4,B0404 CF,C,14,7.19,4,0.27,0.3,26,0,0,Pass,Flushed,0.00%,316,8,270,46,6,2,0,0.025,1.883653,0.777434,324,130,62,40,14,24,12,8,14,6,6,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40%,19%,12%,4%,7%,4%,2%,4%,2%,2%,1%,0%,1%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 4,A0404 B,B,29.1,7.86,4,0.02,0,40,115,1,Fail,Stag+In,0.49%,18110,5176,5520,12590,4584,538,44,0.286,2.675477,0.919866,23286,836,864,1004,1250,1566,2194,2942,2760,2618,2076,1388,1076,882,750,488,252,128,96,28,34,10,18,6,2,8,6,0,0,4,0,4%,4%,4%,5%,7%,9%,13%,12%,11%,9%,6%,5%,4%,3%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 4,A0404 BF,B,29.8,7.86,4,0.19,0.2,39.6,0,0,Pass,Flush+In,0.00%,2492,7424,1182,1310,6476,866,64,2.979,2.584633,0.897717,9916,418,290,206,150,118,164,156,208,292,490,806,1384,1736,1620,930,392,264,94,54,62,32,6,18,2,6,4,2,2,10,0,4%,3%,2%,2%,1%,2%,2%,2%,3%,5%,8%,14%,18%,16%,9%,4%,3%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 4,A0404 C,C,30.2,7.75,4,0.03,0,46.9,0,0,Pass,Stag+In,0.00%,5954,14482,3092,2862,11124,3040,270,2.432,2.791235,0.920978,20436,622,660,604,592,614,614,530,510,530,678,1392,2602,2924,2548,1658,1448,736,432,286,138,128,52,42,22,26,14,10,12,12,0,3%,3%,3%,3%,3%,3%,3%,2%,3%,3%,7%,13%,14%,12%,8%,7%,4%,2%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 4,A0404 CF,C,29.9,7.75,4,0.27,0.3,10.5,0,0,Pass,Flush+In,0.00%,1490,208,1254,236,54,76,76,0.14,2.344343,0.863251,1698,420,318,244,164,108,74,54,54,22,32,14,14,16,8,2,10,6,10,16,34,70,6,0,0,0,0,0,0,2,0,25%,19%,14%,10%,6%,4%,3%,3%,1%,2%,1%,1%,1%,0%,0%,1%,0%,1%,1%,2%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 8,B0408 B,B,20.4,7.28,4,0.01,0,32.2,335,1,Fail,Stagnant,1.18%,17718,10640,10378,7340,9264,1368,6,0.601,2.77912,0.933081,28358,2514,2538,2128,1784,1414,1110,1048,1190,1658,2334,2798,2060,1550,1404,1452,870,320,94,50,34,4,2,0,0,0,0,0,0,2,0,9%,9%,8%,6%,5%,4%,4%,4%,6%,8%,10%,7%,5%,5%,5%,3%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 8,B0408 BF,B,12.9,7.44,4,0.18,0.2,11.6,10,0,Pass,Flushed,0.33%,2646,372,2120,526,342,28,2,0.141,2.275516,0.84618,3018,934,512,368,172,134,120,86,108,88,124,110,86,84,50,12,18,2,4,2,2,2,0,0,0,0,0,0,0,0,0,31%,17%,12%,6%,4%,4%,3%,4%,3%,4%,4%,3%,3%,2%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 8,B0408 C,C,23.5,7.35,4,0.02,0,21.1,0,0,Pass,Stagnant,0.00%,3078,1044,2418,660,976,66,0,0.339,2.456896,0.878782,4122,1076,630,350,204,158,128,138,122,138,134,234,322,228,126,66,32,20,6,4,4,0,0,0,0,0,0,0,0,2,0,26%,15%,8%,5%,4%,3%,3%,3%,3%,3%,6%,8%,6%,3%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 8,B0408 CF,C,13.2,7.3,4,0.28,0.3,23.9,0,0,Pass,Flushed,0.00%,2360,120,2170,190,106,10,2,0.051,1.80037,0.749324,2480,996,660,272,146,96,64,44,24,34,24,42,30,16,8,10,6,4,0,0,0,2,0,0,0,0,0,0,0,2,0,40%,27%,11%,6%,4%,3%,2%,1%,1%,1%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 8,A0408 B,B,30.1,7.76,4,0.01,0,57.4,210,1,Fail,Stag+In,0.61%,24230,10012,9428,14802,8428,1430,148,0.413,2.785493,0.930882,34242,2792,1632,1296,1598,2110,2608,2740,2756,3202,3496,3060,1884,1294,1142,1048,590,224,322,202,92,84,48,2,4,10,0,0,2,4,0,8%,5%,4%,5%,6%,8%,8%,8%,9%,10%,9%,6%,4%,3%,3%,2%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 8,A0408 BF,B,30.3,7.82,4,0.18,0.2,27.6,0,0,Pass,Flush+In,0.00%,1888,3540,1240,648,2942,542,42,1.875,2.707449,0.913184,5428,456,268,224,168,124,106,88,96,112,246,462,760,938,460,322,282,124,56,44,36,18,6,10,8,0,4,2,0,8,0,8%,5%,4%,3%,2%,2%,2%,2%,2%,5%,9%,14%,17%,8%,6%,5%,2%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 8,A0408 C,C,29.4,7.72,4,0.02,0,79.3,0,0,Pass,Stag+In,0.00%,5898,22742,1456,4442,16240,5928,454,3.856,2.672645,0.913382,28640,518,346,220,196,176,178,268,520,1146,2330,3598,3444,3516,3042,2640,2488,1580,932,504,424,228,84,74,48,20,22,22,24,52,0,2%,1%,1%,1%,1%,1%,1%,2%,4%,8%,13%,12%,12%,11%,9%,9%,6%,3%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 8,A0408 CF,C,30.3,7.74,4,0.28,0.3,31.9,0,0,Pass,Flush+In,0.00%,1270,472,1006,264,272,134,62,0.372,2.713993,0.907213,1742,356,244,184,134,88,80,40,50,40,54,54,62,62,58,36,36,36,22,10,30,54,6,2,0,0,2,0,0,2,0,20%,14%,11%,8%,5%,5%,2%,3%,2%,3%,3%,4%,4%,3%,2%,2%,2%,1%,1%,2%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 12,B0412 A,A,18.2,7.55,4,0.08,0.1,28.3,0,0,Pass,Stagnant,0.00%,2492,366,1986,506,312,36,8,0.147,2.309413,0.847532,2858,870,538,262,196,120,94,92,104,108,108,110,114,46,16,26,4,8,8,12,4,8,0,0,0,0,2,0,2,6,0,30%,19%,9%,7%,4%,3%,3%,4%,4%,4%,4%,4%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 12,B0412 AF,A,16.8,7.37,4,0.16,0.2,25,0,0,Pass,Flushed,0.00%,2474,124,2064,410,108,12,2,0.05,2.033819,0.802226,2598,934,538,310,160,122,96,98,92,74,50,38,36,20,10,4,8,0,2,0,2,0,2,0,0,0,0,0,0,2,0,36%,21%,12%,6%,5%,4%,4%,4%,3%,2%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 12,B0412 B,B,21.4,7.15,4,0.01,0,11.4,12,0,Pass,Stagnant,0.24%,3438,1486,2056,1382,1442,28,6,0.432,2.632278,0.918921,4924,734,488,348,266,220,234,196,274,326,352,432,504,286,172,48,18,6,2,2,0,2,2,2,0,0,2,2,0,6,0,15%,10%,7%,5%,4%,5%,4%,6%,7%,7%,9%,10%,6%,3%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 12,B0412 BF,B,15.8,7.14,4,0.15,0.2,17.7,0,0,Pass,Flushed,0.00%,3098,592,2388,710,538,46,2,0.191,2.426091,0.87726,3690,950,574,394,268,202,192,118,154,134,112,126,158,130,100,24,34,12,0,0,0,0,2,0,0,0,2,0,0,4,0,26%,16%,11%,7%,5%,5%,3%,4%,4%,3%,3%,4%,4%,3%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 12,B0412 C,C,24.7,7.05,4,0,0,22.8,0,0,Pass,Stagnant,0.00%,3362,2214,2188,1174,1936,234,36,0.659,2.702248,0.916557,5576,922,518,342,242,164,118,164,196,296,400,540,650,398,224,124,86,48,30,30,40,24,0,6,4,2,0,0,4,4,0,17%,9%,6%,4%,3%,2%,3%,4%,5%,7%,10%,12%,7%,4%,2%,2%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 12,B0412 CF,C,19.5,7.01,4,0.26,0.3,23.8,0,0,Pass,Flushed,0.00%,2268,110,2066,202,102,4,0,0.049,1.826708,0.751827,2378,1004,526,264,160,112,72,54,34,16,26,28,26,28,10,10,2,0,2,0,0,0,0,0,0,0,0,2,2,0,0,42%,22%,11%,7%,5%,3%,2%,1%,1%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 15,A0412 A,A,29.9,,4,0.08,0.1,53.9,0,0,Pass,Stag+In,0.00%,1290,624,684,606,528,82,6,0.484,2.801411,0.933543,1914,222,168,102,108,84,116,128,116,96,150,142,130,114,90,52,40,32,8,2,0,4,0,0,2,0,0,4,2,2,0,12%,9%,5%,6%,4%,6%,7%,6%,5%,8%,7%,7%,6%,5%,3%,2%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 15,A0412 AF,A,30.1,,4,0.16,0.2,48.6,0,0,Pass,Flush+In,0.00%,518,120,264,254,108,8,4,0.232,2.566111,0.912408,638,104,66,30,36,28,38,42,64,50,60,60,30,6,10,2,4,0,4,0,0,2,2,0,0,0,0,0,0,0,0,16%,10%,5%,6%,4%,6%,7%,10%,8%,9%,9%,5%,1%,2%,0%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 15,A0412 B,B,30.1,,4,0.01,0,134.5,1392,1,Fail,Stag+In,7.85%,15988,1736,7824,8164,1658,62,8,0.109,2.514722,0.91103,17724,1328,1392,1406,1674,2024,2240,2008,1684,1256,976,846,446,206,108,52,24,22,6,6,4,2,2,4,0,0,0,0,2,6,0,7%,8%,8%,9%,11%,13%,11%,10%,7%,6%,5%,3%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 15,A0412 BF,B,30,,4,0.15,0.2,84.5,0,0,Pass,Flush+In,0.00%,1450,3246,542,908,2672,520,46,2.239,2.701027,0.915777,4696,214,140,84,58,46,88,86,144,246,344,396,564,698,558,456,232,164,66,34,24,22,8,12,4,0,0,2,0,6,0,5%,3%,2%,1%,1%,2%,2%,3%,5%,7%,8%,12%,15%,12%,10%,5%,3%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 15,A0412 C,C,29.8,,4,0,0,96.2,795,1,Fail,Stag+In,3.01%,22118,4308,7604,14514,3898,356,42,0.195,2.589096,0.912897,26426,642,958,1444,1970,2590,3182,3338,3006,2736,2252,1498,958,702,454,286,184,80,46,22,24,8,12,8,6,8,4,0,2,6,0,2%,4%,5%,7%,10%,12%,13%,11%,10%,9%,6%,4%,3%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 15,A0412 CF,C,30,,4,0.26,0.3,31.5,0,0,Pass,Flush+In,0.00%,436,42,326,110,32,8,0,0.096,2.329631,0.870468,478,122,76,56,44,28,20,42,16,26,6,16,6,6,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,26%,16%,12%,9%,6%,4%,9%,3%,5%,1%,3%,1%,1%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 15,B0415 B,B,20.6,6.99,4,0.01,0,81.2,50,0,Pass,Stagnant,0.27%,16504,1730,10078,6426,1640,86,4,0.105,2.497049,0.907015,18234,1296,1772,2162,2532,2316,1810,1536,1210,1008,862,732,404,268,150,86,62,16,4,4,0,2,0,0,2,0,0,0,0,0,0,7%,10%,12%,14%,13%,10%,8%,7%,6%,5%,4%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 15,B0415 BF,B,19.1,7.12,4,0.01,0,29.4,0,0,Pass,Flushed,0.00%,742,54,458,284,48,6,0,0.073,2.411467,0.892854,796,150,126,78,54,50,94,48,44,60,38,16,10,14,4,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19%,16%,10%,7%,6%,12%,6%,6%,8%,5%,2%,1%,2%,1%,1%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 15,B0415 C,C,24,7.1,4,0.01,0,110.5,0,0,Pass,Stagnant,0.00%,2002,212,1390,612,202,8,0,0.106,2.453274,0.899909,2214,338,312,266,270,204,190,120,142,88,72,92,44,34,22,10,2,2,4,0,0,0,0,0,0,0,0,0,0,2,0,15%,14%,12%,12%,9%,9%,5%,6%,4%,3%,4%,2%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 15,B0415 CF,C,16.1,7.1,4,0.25,0.3,26.6,0,0,Pass,Flushed,0.00%,550,14,474,76,10,4,0,0.025,1.933766,0.796468,564,204,114,78,38,40,24,18,20,8,6,2,6,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36%,20%,14%,7%,7%,4%,3%,4%,1%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 19,A0415 B,B,30.1,,4,0.01,0,138.4,1795,1,Fail,Stag+In,6.36%,27920,282,24392,3528,192,68,14,0.01,1.973508,0.835018,28202,6438,5870,4984,4278,2822,1676,1066,474,204,108,62,40,34,26,30,22,12,18,12,4,4,4,4,2,0,4,0,0,4,0,23%,21%,18%,15%,10%,6%,4%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 19,A0415 BF,B,30.1,,4,0.01,0,226.1,9883,1,Fail,Flush+In,45.08%,21690,232,19670,2020,130,64,26,0.011,1.905577,0.821549,21922,4874,5176,4404,3224,1992,1042,558,224,120,76,38,20,38,22,12,12,26,8,14,4,0,10,4,4,8,4,0,4,4,0,22%,24%,20%,15%,9%,5%,3%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 19,A0415 C,C,30,,4,0.01,0,64.9,2370,1,Fail,Stag+In,23.25%,9930,264,7222,2708,150,78,24,0.027,2.256251,0.878203,10194,1510,1588,1320,1482,1322,1128,820,396,214,150,58,40,16,16,20,28,16,18,12,4,6,8,6,0,4,2,10,0,0,0,15%,16%,13%,15%,13%,11%,8%,4%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 19,A0415 CF,C,29.8,,4,0.25,0.3,23.3,0,0,Pass,Flush+In,0.00%,178,4,144,34,4,0,0,0.022,2.065039,0.840022,182,52,38,24,12,18,10,6,6,4,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29%,21%,13%,7%,10%,5%,3%,3%,2%,4%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 19,B0419 B,B,21.1,7.04,4,0.01,0,23.9,0,0,Pass,Stagnant,0.00%,2274,4,2056,218,4,0,0,0.002,1.837261,0.815441,2278,560,520,468,330,178,102,42,60,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,23%,21%,14%,8%,4%,2%,3%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 19,B0419 BF,B,16.5,7.02,4,0.14,0.1,31.2,0,0,Pass,Flushed,0.00%,454,6,398,56,2,2,0,0.013,1.86912,0.803865,460,140,116,74,40,28,22,18,10,0,6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,30%,25%,16%,9%,6%,5%,4%,2%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 19,B0419 C,C,24.1,7,4,0.01,0,23.3,0,0,Pass,Stagnant,0.00%,1442,6,1210,232,4,0,2,0.004,1.99522,0.84147,1448,342,288,250,186,144,94,70,40,22,6,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,24%,20%,17%,13%,10%,6%,5%,3%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 19,B0419 CF,C,16.3,6.99,4,0.29,0.3,39.2,0,0,Pass,Flushed,0.00%,464,8,436,28,6,0,0,0.017,1.479953,0.656195,472,252,104,36,26,18,14,6,0,6,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,53%,22%,8%,6%,4%,3%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 22,A0419 B,B,,,4,0.01,0,202.3,1347.5,1,Fail,Stag+In,3.81%,23742,11630,6126,17616,9942,1586,96,0.49,2.723898,0.923177,35372,758,900,1218,1424,1826,2202,3034,3774,4398,4208,3146,1994,1896,1646,1260,748,402,258,132,46,34,32,8,12,10,0,2,4,0,0,2%,3%,3%,4%,5%,6%,9%,11%,12%,12%,9%,6%,5%,5%,4%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 22,A0419 BF,B,,,4,0.14,0.1,83.6,0,0,Pass,Flush+In,0.00%,1046,172,720,326,144,28,0,0.164,2.558452,0.902534,1218,230,178,134,104,74,90,74,62,52,48,36,28,30,28,22,10,4,4,6,4,0,0,0,0,0,0,0,0,0,0,19%,15%,11%,9%,6%,7%,6%,5%,4%,4%,3%,2%,2%,2%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 22,A0419 C,C,,,4,0.01,0,46.7,472.5,1,Fail,Stag+In,2.31%,12876,7602,5080,7796,6166,1272,160,0.59,2.861834,0.937307,20478,832,884,1002,1134,1228,1446,1626,1602,1544,1578,1588,1644,1448,878,608,450,296,200,150,176,128,26,4,0,2,2,2,0,0,0,4%,4%,5%,6%,6%,7%,8%,8%,8%,8%,8%,8%,7%,4%,3%,2%,1%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 22,A0419 CF,C,,,4,0.29,0.3,12.8,0,0,Pass,Flush+In,0.00%,524,20,396,128,20,0,0,0.038,2.126746,0.835906,544,178,88,44,44,42,40,34,20,12,22,12,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,16%,8%,8%,8%,7%,6%,4%,2%,4%,2%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
