Exp Date,name,location,Temp,pH,Month,Free_Cl,Cl_Class,ATP,CFU,HPC_fail,Criteria,Type,Culturability,LNA,HNA,ICC_2.5log,ICC_3.0log,ICC_3.5log,ICC_4.0log,ICC_4.5log,ratio,Shannon,Simpson,ICC,2.1 log,2.2 log,2.3 log,2.4 log,2.5 log,2.6 log,2.7 log,2.8 log,2.9 log,3.0 log,3.1 log,3.2 log,3.3 log,3.4 log,3.5 log,3.6 log,3.7 log,3.8 log,3.9 log,4.0 log,4.1 log,4.2 log,4.3 log,4.4 log,4.5 log,4.6 log,4.7 log,4.8 log,4.9 log,5.0 log,% 2.1 log,% 2.2 log,% 2.3 log,% 2.4 log,% 2.5 log,% 2.6 log,% 2.7 log,% 2.8 log,% 2.9 log,% 3.0 log,% 3.1 log,% 3.2 log,% 3.3 log,% 3.4 log,% 3.5 log,% 3.6 log,% 3.7 log,% 3.8 log,% 3.9 log,% 4.0 log,% 4.1 log,% 4.2 log,% 4.3 log,% 4.4 log,% 4.5 log,% 4.6 log,% 4.7 log,% 4.8 log,% 4.9 log,% 5.0 log
2022. 4. 22,B0422 B,B,,,4,0.01,0,56.2,207.5,1,Fail,Stagnant,0.84%,21192,3530,9960,11232,3466,64,0,0.167,2.553695,0.913791,24722,1472,1854,1934,2176,2524,3036,3330,2394,1410,1062,1056,984,916,420,90,30,24,8,2,0,0,0,0,0,0,0,0,0,0,0,6%,7%,8%,9%,10%,12%,13%,10%,6%,4%,4%,4%,4%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 22,B0422 BF,B,,,4,0.17,0.2,20.3,0,0,Pass,Flushed,0.00%,1104,46,828,276,38,4,2,0.042,2.267282,0.878495,1150,210,168,134,164,152,100,92,32,20,32,16,14,6,2,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,0,18%,15%,12%,14%,13%,9%,8%,3%,2%,3%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 22,B0422 park 1,C,,,4,0.01,0,46,10,0,Pass,Stagnant,0.07%,12526,2482,6288,6238,2304,176,0,0.198,2.635839,0.921381,15008,1016,1016,1146,1534,1576,1606,1486,1152,1100,894,782,712,418,242,150,78,48,22,16,12,0,0,0,0,0,0,0,0,2,0,7%,7%,8%,10%,11%,11%,10%,8%,7%,6%,5%,5%,3%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 22,B0422 park 2F,C,,,4,0.31,0.3,24.6,0,0,Pass,Flushed,0.00%,1222,50,1020,202,42,8,0,0.041,2.088372,0.829625,1272,378,282,148,116,96,64,40,44,28,26,22,8,6,6,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,30%,22%,12%,9%,8%,5%,3%,3%,2%,2%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 22,B0422 Huy 1,F,,,4,0.01,0,25.4,0,0,Pass,Stagnant,0.00%,572,24,460,112,22,0,0,0.042,2.149622,0.848728,596,158,120,72,56,54,48,28,14,12,10,6,2,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27%,20%,12%,9%,9%,8%,5%,2%,2%,2%,1%,0%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 22,B0422 Huy 2F,F,,,4,0.24,0.2,61.6,0,0,Pass,Flushed,0.00%,398,10,352,46,0,8,2,0.025,1.938263,0.817989,408,124,78,74,46,30,16,18,6,6,0,0,0,0,0,0,4,2,2,0,0,0,0,2,0,0,0,0,0,0,0,30%,19%,18%,11%,7%,4%,4%,1%,1%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 22,B0422 Yoon 1,D,,,4,0.05,0.1,12.2,0,0,Pass,Stagnant,0.00%,1092,72,812,280,60,8,2,0.066,2.340078,0.885741,1164,154,188,162,144,164,118,68,38,32,24,32,10,10,8,0,2,0,2,2,2,2,0,0,0,0,0,2,0,0,0,13%,16%,14%,12%,14%,10%,6%,3%,3%,2%,3%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 22,B0422 Yoon 2F,D,,,4,0.32,0.3,21.9,0,0,Pass,Flushed,0.00%,750,72,592,158,62,6,0,0.096,2.278859,0.847237,822,262,118,86,62,64,42,28,28,28,32,12,18,14,12,6,2,2,0,0,2,0,0,0,0,0,0,0,0,4,0,32%,14%,10%,8%,8%,5%,3%,3%,3%,4%,1%,2%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 22,B0422 Tien 1,G,,,4,0.01,0,67.2,25,0,Pass,Stagnant,0.56%,4050,420,2314,1736,402,16,0,0.104,2.515177,0.910537,4470,408,408,414,506,578,490,418,324,296,208,174,96,70,38,24,6,6,4,0,0,0,0,0,0,0,0,0,0,2,0,9%,9%,9%,11%,13%,11%,9%,7%,7%,5%,4%,2%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 22,B0422 Tien 2F,G,,,4,0.27,0.3,20.2,0,0,Pass,Flushed,0.00%,1010,68,714,296,64,2,2,0.067,2.342369,0.883896,1078,226,168,120,106,94,102,68,46,54,26,32,14,6,10,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,21%,16%,11%,10%,9%,9%,6%,4%,5%,2%,3%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 26,B0426 B,B,,,4,0.01,0,34.4,567.5,1,Fail,Stagnant,1.99%,25456,3120,11500,13956,3040,78,2,0.123,2.4691,0.901652,28576,1334,1738,2160,2880,3388,3952,4696,2688,1634,986,926,954,854,232,74,44,20,8,4,2,0,0,2,0,0,0,0,0,0,0,5%,6%,8%,10%,12%,14%,16%,9%,6%,3%,3%,3%,3%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 26,B0426 BF,B,,,4,0.16,0.2,12.5,0,0,Pass,Flushed,0.00%,2514,478,1774,740,442,34,2,0.19,2.51646,0.897737,2992,618,444,266,292,154,168,188,152,124,108,92,138,104,76,32,20,10,0,4,0,0,0,2,0,0,0,0,0,0,0,21%,15%,9%,10%,5%,6%,6%,5%,4%,4%,3%,5%,3%,3%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 26,B0426 C Park 1,C,,,4,0,0,55,17.5,0,Pass,Stagnant,0.12%,14022,708,9640,4382,658,42,4,0.05,2.342136,0.889079,14730,1716,1746,1944,2118,2116,1750,1208,580,472,372,278,168,108,82,22,16,18,2,4,2,0,4,0,0,0,0,4,0,0,0,12%,12%,13%,14%,14%,12%,8%,4%,3%,3%,2%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 26,B0426 C Park 2F,C,,,4,0.27,0.3,18.8,0,0,Pass,Flushed,0.00%,1248,52,1012,236,46,6,0,0.042,2.113205,0.836606,1300,380,266,160,100,106,96,50,36,34,20,18,16,6,6,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,29%,20%,12%,8%,8%,7%,4%,3%,3%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 26,B0426 Yoon 1,D,,,4,0,0,15.5,0,0,Pass,Stagnant,0.00%,1400,220,998,402,216,4,0,0.157,2.450791,0.893324,1620,340,242,170,130,116,120,80,70,64,68,98,48,26,24,20,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21%,15%,10%,8%,7%,7%,5%,4%,4%,4%,6%,3%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 26,B0426 Yoon 2F,D,,,4,0.28,0.3,32.5,0,0,Pass,Flushed,0.00%,624,32,520,104,30,0,2,0.051,2.059528,0.818525,656,216,142,66,50,46,36,22,22,14,10,8,8,12,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,33%,22%,10%,8%,7%,5%,3%,3%,2%,2%,1%,1%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 26,B0426 Tien 1,G,,,4,0,0,35.5,0,0,Pass,Stagnant,0.00%,1254,138,976,278,112,22,2,0.11,2.375323,0.873038,1392,338,248,156,122,112,72,66,58,44,38,32,38,26,12,4,6,2,6,6,2,0,2,0,0,0,0,0,0,2,0,24%,18%,11%,9%,8%,5%,5%,4%,3%,3%,2%,3%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 26,B0426 Tien 2F,G,,,4,0.2,0.2,27.8,0,0,Pass,Flushed,0.00%,1332,124,1038,294,122,2,0,0.093,2.289162,0.864892,1456,376,256,162,150,94,100,60,44,48,42,30,40,28,14,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26%,18%,11%,10%,6%,7%,4%,3%,3%,3%,2%,3%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 26,B0426 Kim 1,E,,,4,0,0,45.2,0,0,Pass,Stagnant,0.00%,1270,44,1068,202,40,2,0,0.035,2.072724,0.830839,1314,396,244,198,134,96,64,64,28,20,26,12,10,8,8,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,30%,19%,15%,10%,7%,5%,5%,2%,2%,2%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 26,B0426 Kim 2F,E,,,4,0.16,0.2,24,0,0,Pass,Flushed,0.00%,1770,46,1418,352,38,6,2,0.026,2.118841,0.844842,1816,498,316,292,178,134,120,94,58,48,32,20,8,6,4,0,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,27%,17%,16%,10%,7%,7%,5%,3%,3%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 26,B0426 Lee 1,H,,,4,0.04,0,17.6,87.5,0,Pass,Stagnant,6.63%,1212,108,898,314,100,6,2,0.089,2.36876,0.885046,1320,256,208,186,138,110,108,82,64,38,22,18,34,26,18,4,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,19%,16%,14%,10%,8%,8%,6%,5%,3%,2%,1%,3%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 26,B0426 Lee 2F,H,,,4,0.44,0.4,21.3,0,0,Pass,Flushed,0.00%,614,32,524,90,28,4,0,0.052,2.071668,0.826649,646,204,124,84,68,44,28,20,26,12,4,8,12,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,32%,19%,13%,11%,7%,4%,3%,4%,2%,1%,1%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 29,B0429 B,B,,,4,0.01,0,21.3,775,1,Fail,Stagnant,4.17%,13796,4806,6884,6912,4682,118,2,0.348,2.671754,0.928143,18602,1550,1412,1278,1348,1296,1190,1730,1614,1232,1146,1136,1080,1498,894,74,52,48,10,8,0,0,0,2,0,0,2,0,2,0,0,8%,8%,7%,7%,7%,6%,9%,9%,7%,6%,6%,6%,8%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 29,B0429 BF,B,,,4,0.15,0.2,10.5,0,0,Pass,Flushed,0.00%,856,120,562,294,106,12,2,0.14,2.539018,0.904893,976,182,100,112,84,84,62,90,60,30,52,26,30,24,16,10,4,2,2,4,0,2,0,0,0,0,0,0,0,0,0,19%,10%,11%,9%,9%,6%,9%,6%,3%,5%,3%,3%,2%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 29,B0429 cPark,C,,,4,0.02,0,35.7,0,0,Pass,Stagnant,0.00%,10490,1150,6364,4126,1088,62,0,0.11,2.493028,0.908013,11640,1164,1250,1162,1314,1474,1382,920,644,624,556,576,290,116,76,30,20,30,4,6,2,0,0,0,0,0,0,0,0,0,0,10%,11%,10%,11%,13%,12%,8%,6%,5%,5%,5%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 29,B0429 cPark F,C,,,4,0.31,0.3,10.1,0,0,Pass,Flushed,0.00%,572,28,482,90,24,4,0,0.049,2.101202,0.834168,600,188,100,56,74,64,28,26,18,10,8,8,8,8,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,31%,17%,9%,12%,11%,5%,4%,3%,2%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 29,B0429 Yoon,D,,,4,0.01,0,12.5,15,0,Pass,Stagnant,0.74%,1856,172,1236,620,166,6,0,0.093,2.447253,0.900726,2028,328,282,202,214,210,194,130,108,98,90,74,38,36,12,6,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,16%,14%,10%,11%,10%,10%,6%,5%,5%,4%,4%,2%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 29,B0429 Yoon F,D,,,4,0.28,0.3,12.3,0,0,Pass,Flushed,0.00%,616,30,502,114,22,4,0,0.049,2.105077,0.83047,646,204,122,80,60,36,40,14,18,32,10,14,4,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,2,0,32%,19%,12%,9%,6%,6%,2%,3%,5%,2%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 29,B0429 Tien,G,,,4,0.02,0,6.2,0,0,Pass,Stagnant,0.00%,1428,146,1040,388,124,16,2,0.102,2.447457,0.895315,1574,230,246,230,174,160,122,84,86,46,50,54,32,20,12,6,8,4,2,2,0,0,2,0,0,0,0,0,2,2,0,15%,16%,15%,11%,10%,8%,5%,5%,3%,3%,3%,2%,1%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 29,B0429 Tien F,G,,,4,0.26,0.3,16.9,0,0,Pass,Flushed,0.00%,802,38,678,124,34,4,0,0.047,2.107707,0.841739,840,226,166,128,88,70,54,30,12,14,14,16,6,2,6,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,27%,20%,15%,10%,8%,6%,4%,1%,2%,2%,2%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 29,B0429 Huyen ,F,,,4,0.03,0,8.2,17,0,Pass,Stagnant,1.20%,1364,52,1170,194,38,10,2,0.038,2.063013,0.823322,1416,448,272,190,154,106,68,50,32,32,12,12,8,8,6,4,4,2,2,0,2,0,2,0,0,0,0,0,2,0,0,32%,19%,13%,11%,7%,5%,4%,2%,2%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 29,B0429 Huyen F,F,,,4,0.25,0.3,10.8,0,0,Pass,Flushed,0.00%,1068,62,858,210,56,6,0,0.058,2.183942,0.847752,1130,322,204,146,112,74,64,42,46,30,28,20,24,4,8,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,28%,18%,13%,10%,7%,6%,4%,4%,3%,2%,2%,2%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 29,B0429 Lee,H,,,4,0.03,0,11.2,0,0,Pass,Stagnant,0.00%,1636,116,1304,332,112,4,0,0.071,2.261138,0.862158,1752,448,306,232,172,146,80,72,70,60,50,30,32,26,18,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,26%,17%,13%,10%,8%,5%,4%,4%,3%,3%,2%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 4. 29,B0429 Lee F,H,,,4,0.44,0.4,5.7,0,0,Pass,Flushed,0.00%,578,34,486,92,32,2,0,0.059,2.100943,0.831189,612,178,138,80,30,60,24,22,22,10,14,8,8,10,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29%,23%,13%,5%,10%,4%,4%,4%,2%,2%,1%,1%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.3,A0429 B,B,,,4,0,0,98.5,618,1,Fail,Stag+In,2.78%,15422,6794,5354,10068,5880,908,6,0.441,2.731377,0.928363,22216,574,738,854,1370,1818,1912,2058,2132,2098,1868,1832,1490,1106,884,568,548,224,94,34,8,2,2,0,2,0,0,0,0,0,0,3%,3%,4%,6%,8%,9%,9%,10%,9%,8%,8%,7%,5%,4%,3%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.3,A0429 C,C,,,4,0,0,72.3,38,0,Pass,Stag+In,0.23%,14354,2510,6846,7508,2130,320,44,0.175,2.621533,0.914869,16864,582,928,1346,1828,2162,1994,1848,1460,1298,908,770,558,378,248,176,124,64,70,24,38,18,14,6,2,4,6,2,4,4,0,3%,6%,8%,11%,13%,12%,11%,9%,8%,5%,5%,3%,2%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.3,A0429 Yoon,D,,,4,0,0,66.5,25,0,Pass,Stag+In,0.18%,12324,1552,4156,8168,1482,58,6,0.126,2.475856,0.901543,13876,458,534,666,1040,1458,1938,2014,1882,1370,964,666,390,202,138,86,16,18,12,10,2,0,2,4,0,0,2,0,0,4,0,3%,4%,5%,7%,11%,14%,15%,14%,10%,7%,5%,3%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.3,A0429 Tien,G,,,4,0,0,83.1,0,0,Pass,Stag+In,0.00%,7908,1340,4100,3808,1036,228,70,0.169,2.684397,0.92135,9248,622,864,842,886,886,900,894,910,640,464,320,266,180,182,88,84,54,38,24,28,28,16,14,8,4,2,0,4,0,0,7%,9%,9%,10%,10%,10%,10%,10%,7%,5%,3%,3%,2%,2%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.3,A0429 Huyen,F,,,4,0,0,196.3,11526,1,Fail,Stag+In,26.81%,33560,9438,7746,25814,8548,884,6,0.281,2.527317,0.900454,42998,436,582,1198,2412,3118,4502,6852,7684,4328,2448,2132,1374,1722,2108,1212,374,340,160,8,2,0,6,0,0,0,0,0,0,0,0,1%,1%,3%,6%,7%,10%,16%,18%,10%,6%,5%,3%,4%,5%,3%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.3,A0429 Lee,H,,,4,0,0,219.5,955,1,Fail,Stag+In,2.29%,26118,15652,6616,19502,13968,1356,230,0.599,2.664785,0.916852,41770,576,570,696,1586,3188,3826,3374,3418,4012,4872,5572,3714,2280,1584,818,592,308,202,154,100,62,58,48,36,26,34,14,14,36,0,1%,1%,2%,4%,8%,9%,8%,8%,10%,12%,13%,9%,5%,4%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.3,B0503 B,B,,,5,0.01,0,43.2,690,1,Fail,Stagnant,2.33%,18686,10928,6742,11944,10678,248,0,0.585,2.669455,0.925461,29614,1088,1258,1376,1356,1664,2074,2286,2682,2810,2092,2066,2076,2902,3142,492,126,80,26,12,4,0,0,0,0,0,0,0,0,2,0,4%,4%,5%,5%,6%,7%,8%,9%,9%,7%,7%,7%,10%,11%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.3,B0503 BF,B,,,5,0.16,0.2,20.8,0,0,Pass,Flushed,0.00%,1322,318,856,466,294,22,2,0.241,2.63138,0.91682,1640,236,228,158,116,118,128,110,72,66,90,68,60,66,76,24,6,6,8,0,2,0,0,0,2,0,0,0,0,0,0,14%,14%,10%,7%,7%,8%,7%,4%,4%,5%,4%,4%,4%,5%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.3,B0503 B2 tap,B,,,5,0,0,48.1,60,0,Pass,Stagnant,0.15%,33300,7614,13040,20260,7458,154,2,0.229,2.585758,0.917521,40914,1464,1600,2390,3232,4354,4692,4264,3920,3914,3470,2942,2016,1374,798,328,80,56,10,8,0,2,0,0,0,0,0,0,0,0,0,4%,4%,6%,8%,11%,11%,10%,10%,10%,8%,7%,5%,3%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.3,B0503 B2 tap F,B,,,5,0,0,22.9,58,0,Pass,Flushed,0.39%,11274,3714,5484,5790,3526,188,0,0.329,2.706284,0.930097,14988,832,1016,1184,1200,1252,1304,1254,1108,1064,1060,998,902,808,468,350,146,38,0,2,2,0,0,0,0,0,0,0,0,0,0,6%,7%,8%,8%,8%,9%,8%,7%,7%,7%,7%,6%,5%,3%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.3,B0503 Park,C,,,5,0,0,163.7,363,1,Fail,Stagnant,0.77%,34738,12254,13268,21470,10486,1740,22,0.353,2.739795,0.927768,46992,1548,1944,2358,3382,4036,4710,4770,4764,3942,3284,3162,2524,2456,1520,824,540,446,390,308,56,4,8,6,2,2,0,4,0,2,0,3%,4%,5%,7%,9%,10%,10%,10%,8%,7%,7%,5%,5%,3%,2%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.3,B0503 Park F,C,,,5,0.25,0.3,8.7,0,0,Pass,Flushed,0.00%,466,86,316,150,78,8,0,0.185,2.515825,0.895973,552,122,82,28,48,36,26,34,40,32,18,12,26,14,18,8,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,22%,15%,5%,9%,7%,5%,6%,7%,6%,3%,2%,5%,3%,3%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.3,B0503 Tien,G,,,5,0.01,0,10.4,0,0,Pass,Stagnant,0.00%,1808,320,1172,636,286,34,0,0.177,2.59199,0.912852,2128,338,278,196,180,180,146,116,118,138,118,76,92,62,36,20,10,16,6,0,2,0,0,0,0,0,0,0,0,0,0,16%,13%,9%,8%,8%,7%,5%,6%,6%,6%,4%,4%,3%,2%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.3,B0503 Tien F,G,,,5,0.3,0.3,17.6,0,0,Pass,Flushed,0.00%,996,104,568,428,104,0,0,0.104,2.473745,0.907675,1100,140,104,86,112,126,136,122,64,58,48,48,24,16,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13%,9%,8%,10%,11%,12%,11%,6%,5%,4%,4%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.3,B0503 Huyen,F,,,5,0,0,20.2,0,0,Pass,Stagnant,0.00%,1152,44,948,204,32,8,2,0.038,2.057186,0.820744,1196,384,242,160,102,60,86,46,34,24,14,10,12,0,6,4,0,4,2,2,0,0,0,0,0,2,0,0,0,2,0,32%,20%,13%,9%,5%,7%,4%,3%,2%,1%,1%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.3,B0503 Huyen F,F,,,5,0.22,0.2,15.8,0,0,Pass,Flushed,0.00%,346,10,306,40,8,0,2,0.029,1.90132,0.792024,356,122,90,38,40,16,10,8,8,8,6,4,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,34%,25%,11%,11%,4%,3%,2%,2%,2%,2%,1%,1%,0%,1%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.3,B0503 Museum,H,,,5,0.2,0.2,11.4,0,0,Pass,Flushed,0.00%,234,18,198,36,16,0,0,0.077,1.87773,0.758869,252,110,48,8,18,14,16,8,8,0,4,10,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,44%,19%,3%,7%,6%,6%,3%,3%,0%,2%,4%,0%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%
