Exp Date,name,location,Temp,pH,Month,Free_Cl,Cl_Class,ATP,CFU,HPC_fail,Criteria,Type,Culturability,LNA,HNA,ICC_2.5log,ICC_3.0log,ICC_3.5log,ICC_4.0log,ICC_4.5log,ratio,Shannon,Simpson,ICC,2.1 log,2.2 log,2.3 log,2.4 log,2.5 log,2.6 log,2.7 log,2.8 log,2.9 log,3.0 log,3.1 log,3.2 log,3.3 log,3.4 log,3.5 log,3.6 log,3.7 log,3.8 log,3.9 log,4.0 log,4.1 log,4.2 log,4.3 log,4.4 log,4.5 log,4.6 log,4.7 log,4.8 log,4.9 log,5.0 log,% 2.1 log,% 2.2 log,% 2.3 log,% 2.4 log,% 2.5 log,% 2.6 log,% 2.7 log,% 2.8 log,% 2.9 log,% 3.0 log,% 3.1 log,% 3.2 log,% 3.3 log,% 3.4 log,% 3.5 log,% 3.6 log,% 3.7 log,% 3.8 log,% 3.9 log,% 4.0 log,% 4.1 log,% 4.2 log,% 4.3 log,% 4.4 log,% 4.5 log,% 4.6 log,% 4.7 log,% 4.8 log,% 4.9 log,% 5.0 log
2022. 5.6,A0503 B,B,,,5,0,0,73.7,7861,1,Fail,Stag+In,22.61%,28338,6434,14130,14208,5724,674,26,0.227,2.668311,0.922972,34772,2024,2352,2582,3122,4050,3850,2910,2462,2316,2670,2294,1386,954,606,484,386,158,68,44,18,8,10,4,4,0,0,8,0,2,0,6%,7%,7%,9%,12%,11%,8%,7%,7%,8%,7%,4%,3%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.6,A0503 B2,B,,,5,0,0,39,1495,1,Fail,Stag+In,4.81%,24216,6836,12996,11220,6202,610,24,0.282,2.720193,0.929032,31052,2192,2486,2800,2886,2632,2680,2582,2188,2032,1738,1568,1464,1518,1130,522,320,146,102,26,16,12,4,6,2,0,0,0,0,0,0,7%,8%,9%,9%,8%,9%,8%,7%,7%,6%,5%,5%,5%,4%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.6,A0503 Park,C,,,5,0,0,72.2,138,1,Fail,Stag+In,0.66%,15828,5062,7430,8398,4298,704,48,0.32,2.768656,0.931554,20890,1194,1290,1480,1756,1710,1788,1794,1594,1654,1568,1366,1076,884,578,394,322,186,116,50,30,16,12,6,14,0,0,0,6,6,0,6%,6%,7%,8%,8%,9%,9%,8%,8%,8%,7%,5%,4%,3%,2%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.6,A0503 Tien,G,,,5,0,0,27.8,25,0,Pass,Stag+In,0.21%,9380,2302,4608,4772,2078,204,12,0.245,2.671942,0.921884,11682,502,618,846,1228,1414,1256,1136,1022,768,590,520,530,456,402,170,100,46,38,18,2,0,2,2,4,4,2,0,0,6,0,4%,5%,7%,11%,12%,11%,10%,9%,7%,5%,4%,5%,4%,3%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.6,A0503 Huyen,F,,,5,0,0,96.4,10266,1,Fail,Stag+In,43.94%,1724,21642,1064,660,13264,8292,68,12.553,2.262961,0.86069,23366,404,256,174,126,104,108,74,90,140,248,340,842,2152,4466,5464,2976,2510,2244,480,82,32,14,10,6,6,8,4,0,6,0,2%,1%,1%,1%,0%,0%,0%,0%,1%,1%,1%,4%,9%,19%,23%,13%,11%,10%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.6,B0506 B,B,,,5,0.01,0,45.8,4060,1,Fail,Stagnant,13.46%,29596,568,11558,18038,564,4,0,0.019,2.21891,0.873422,30164,1116,1582,2448,3256,3156,4980,6204,4118,1992,744,298,176,48,38,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4%,5%,8%,11%,10%,17%,21%,14%,7%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.6,B0506 BF,B,,,5,0.14,0.1,12.4,0,0,Pass,Flushed,0.00%,786,418,344,442,404,14,0,0.532,2.656675,0.924488,1204,124,84,52,20,64,62,94,72,78,136,120,102,88,74,20,6,6,0,0,2,0,0,0,0,0,0,0,0,0,0,10%,7%,4%,2%,5%,5%,8%,6%,6%,11%,10%,8%,7%,6%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.6,B0506 Park,C,,,5,0.02,0,155.2,150,1,Fail,Stagnant,0.24%,37764,24954,6552,31212,20306,4506,116,0.661,2.68587,0.918546,62718,812,920,1088,1448,2284,3958,5128,6152,8066,7908,6620,5176,3936,2702,1872,1680,1556,888,308,74,64,26,12,4,10,6,6,6,8,0,1%,1%,2%,2%,4%,6%,8%,10%,13%,13%,11%,8%,6%,4%,3%,3%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.6,B0506 Park F,C,,,5,0.25,0.3,15.1,0,0,Pass,Flushed,0.00%,642,166,442,200,150,16,0,0.259,2.557348,0.899506,808,180,108,54,64,36,44,34,56,40,26,50,32,32,28,8,2,6,4,2,2,0,0,0,0,0,0,0,0,0,0,22%,13%,7%,8%,4%,5%,4%,7%,5%,3%,6%,4%,4%,3%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.6,B0506 Kim,E,,,5,0.01,0,17.5,75,0,Pass,Stagnant,3.52%,1938,190,1408,530,172,16,0,0.098,2.43653,0.896298,2128,318,310,278,260,242,162,120,74,88,86,86,34,20,20,12,6,6,2,2,0,0,0,0,0,0,0,0,0,2,0,15%,15%,13%,12%,11%,8%,6%,3%,4%,4%,4%,2%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.6,B0506 Kim F,E,,,5,0.23,0.2,30.7,0,0,Pass,Flushed,0.00%,398,18,330,68,14,2,2,0.045,1.949307,0.787674,416,164,72,50,30,14,28,16,14,8,2,8,0,0,2,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,39%,17%,12%,7%,3%,7%,4%,3%,2%,0%,2%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.6,B0506 Tien,G,,,5,0.01,0,22.8,0,0,Pass,Stagnant,0.00%,2846,2302,822,2024,2262,38,0,0.809,2.401151,0.883225,5148,268,182,122,102,148,176,194,370,542,742,1036,878,194,116,38,20,14,2,2,0,0,0,0,0,0,0,0,0,2,0,5%,4%,2%,2%,3%,3%,4%,7%,11%,14%,20%,17%,4%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.6,B0506 Tien F,G,,,5,0.23,0.2,17.7,0,0,Pass,Flushed,0.00%,516,66,364,152,64,2,0,0.128,2.351172,0.870333,582,162,88,44,36,34,32,26,40,20,34,22,24,8,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28%,15%,8%,6%,6%,5%,4%,7%,3%,6%,4%,4%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.6,B0506 Huyen,F,,,5,0.02,0,14.6,20,0,Pass,Stagnant,1.95%,894,134,596,298,122,12,0,0.15,2.526196,0.90436,1028,194,124,90,86,102,78,66,66,42,46,54,32,14,12,10,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,19%,12%,9%,8%,10%,8%,6%,6%,4%,4%,5%,3%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.6,B0506 Huyen F,F,,,5,0.16,0.2,17.4,0,0,Pass,Flushed,0.00%,420,10,362,58,8,0,2,0.024,1.905773,0.788291,430,160,96,36,44,26,14,16,8,10,10,6,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,37%,22%,8%,10%,6%,3%,4%,2%,2%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.6,B0506 LeeY,H,,,5,0,0,23.4,0,0,Pass,Stagnant,0.00%,1668,76,1258,410,76,0,0,0.046,2.264565,0.880021,1744,296,268,270,226,198,144,110,62,64,30,36,28,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17%,15%,15%,13%,11%,8%,6%,4%,4%,2%,2%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.6,B0506 LeeY F,H,,,5,0.33,0.3,9.7,0,0,Pass,Flushed,0.00%,338,12,278,60,12,0,0,0.036,1.957214,0.794761,350,130,70,48,20,10,14,14,12,14,6,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37%,20%,14%,6%,3%,4%,4%,3%,4%,2%,2%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.6,B0506 YoonS,D,,,5,0,0,14.5,0,0,Pass,Stagnant,0.00%,1306,76,944,362,72,4,0,0.058,2.338766,0.885011,1382,270,210,150,190,124,98,90,74,62,38,22,18,22,10,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20%,15%,11%,14%,9%,7%,7%,5%,4%,3%,2%,1%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.6,B0506 YoonS F,D,,,5,0.22,0.2,24.2,0,0,Pass,Flushed,0.00%,502,40,464,38,32,8,0,0.08,1.800738,0.714244,542,268,88,38,46,24,12,10,4,4,8,8,12,6,4,2,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,49%,16%,7%,8%,4%,2%,2%,1%,1%,1%,1%,2%,1%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.13,B0513 B,B,,,5,0,0,54.3,255,1,Fail,Stagnant,1.02%,21100,3948,9856,11244,3858,84,6,0.187,2.484979,0.898719,25048,1124,1442,1666,2366,3258,4610,3570,1614,832,618,682,826,1138,1042,170,42,24,6,8,4,6,0,0,0,0,0,0,0,0,0,4%,6%,7%,9%,13%,18%,14%,6%,3%,2%,3%,3%,5%,4%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.13,B0513 BF,B,,,5,0.17,0.2,19.3,0,0,Pass,Flushed,0.00%,1852,438,1232,620,402,32,2,0.237,2.602515,0.912129,2290,402,288,206,158,178,138,110,116,122,134,146,106,66,64,20,16,12,0,2,2,0,2,0,0,0,0,0,0,2,0,18%,13%,9%,7%,8%,6%,5%,5%,5%,6%,6%,5%,3%,3%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.13,B0513 Park,C,,,5,0,0,130.8,4788,1,Fail,Stagnant,8.80%,48336,6088,21648,26688,5664,390,32,0.126,2.564964,0.914565,54424,2974,3660,4330,5206,5478,5316,5822,6314,5548,3688,2242,1434,924,692,372,176,112,60,28,14,10,16,4,2,0,0,0,2,0,0,5%,7%,8%,10%,10%,10%,11%,12%,10%,7%,4%,3%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.13,B0513 Park F,C,,,5,0.28,0.3,21.2,0,0,Pass,Flushed,0.00%,1160,132,858,302,122,8,2,0.114,2.384419,0.877972,1292,318,202,140,92,106,78,82,52,50,40,50,26,20,18,8,4,2,0,0,2,2,0,0,0,0,0,0,0,0,0,25%,16%,11%,7%,8%,6%,6%,4%,4%,3%,4%,2%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.13,B0513 Park hit,C,,,5,0.19,0.2,26,0,0,Pass,Flushed,0.00%,19338,846,15660,3678,768,76,2,0.044,2.186819,0.854503,20184,5036,3854,2768,2244,1758,1190,902,720,506,360,276,224,120,102,46,40,18,14,2,2,0,0,0,0,2,0,0,0,0,0,25%,19%,14%,11%,9%,6%,4%,4%,3%,2%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.13,B0513 Kim,E,,,5,0,0,74.1,23,0,Pass,Stagnant,0.11%,17370,4324,9076,8294,3828,480,12,0.249,2.708702,0.927197,21694,1484,1554,1820,2104,2114,1958,1804,1558,1566,1408,1288,930,678,556,376,228,122,68,42,20,8,2,2,0,0,0,4,0,0,0,7%,7%,8%,10%,10%,9%,8%,7%,7%,6%,6%,4%,3%,3%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.13,B0513 Kim F,E,,,5,0.29,0.3,22.1,0,0,Pass,Flushed,0.00%,1072,24,846,226,22,2,0,0.022,2.083638,0.83659,1096,320,210,160,68,88,86,48,32,36,24,6,6,8,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29%,19%,15%,6%,8%,8%,4%,3%,3%,2%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.13,B0513 Tien,G,,,5,0.2,0.2,30.5,14,0,Pass,Stagnant,0.71%,1822,148,1374,448,140,6,2,0.081,2.32092,0.875594,1970,460,298,214,228,174,174,104,68,52,50,44,48,22,18,8,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,23%,15%,11%,12%,9%,9%,5%,3%,3%,3%,2%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.13,B0513 Tien F,G,,,5,0.22,0.2,27.2,0,0,Pass,Flushed,0.00%,884,18,794,90,16,2,0,0.02,1.79767,0.758448,902,378,176,112,80,48,30,26,16,12,6,8,4,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42%,20%,12%,9%,5%,3%,3%,2%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.13,B0513 Huyen,F,,,5,0,0,22.3,0,0,Pass,Stagnant,0.00%,1122,120,700,422,116,4,0,0.107,2.39991,0.88034,1242,320,168,88,62,62,80,76,102,98,66,24,24,38,18,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26%,14%,7%,5%,5%,6%,6%,8%,8%,5%,2%,2%,3%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.13,B0513 Huyen F,F,,,5,0.15,0.2,44.2,0,0,Pass,Flushed,0.00%,1726,80,1394,332,64,16,0,0.046,2.189533,0.849271,1806,494,334,246,158,162,104,84,46,54,44,18,16,14,10,6,8,4,2,2,0,0,0,0,0,0,0,0,0,0,0,27%,18%,14%,9%,9%,6%,5%,3%,3%,2%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.13,B0513 YoonS,D,,,5,0,0,36.7,8,0,Pass,Stagnant,0.16%,3878,1082,1438,2440,1048,32,2,0.279,2.630823,0.921683,4960,372,230,220,322,294,428,572,540,482,418,376,310,204,94,64,20,4,4,4,0,0,0,0,0,2,0,0,0,0,0,8%,5%,4%,6%,6%,9%,12%,11%,10%,8%,8%,6%,4%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.13,B0513 YoonS F,D,,,5,0.3,0.3,20.2,0,0,Pass,Flushed,0.00%,1062,46,932,130,44,2,0,0.043,1.907824,0.77407,1108,448,218,118,88,60,50,26,26,12,16,6,12,12,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40%,20%,11%,8%,5%,5%,2%,2%,1%,1%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.20,B0520 B,B,22.3,,5,0,0,56.2,25,0,Pass,Stagnant,0.04%,55118,4872,9384,45734,4840,32,0,0.088,2.13838,0.840906,59990,576,692,1172,2364,4580,5824,10248,17202,9778,2682,1606,1394,1128,628,84,20,8,4,0,0,0,0,0,0,0,0,0,0,0,0,1%,1%,2%,4%,8%,10%,17%,29%,16%,4%,3%,2%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.20,B0520 BF,B,21.7,,5,0.15,0.2,12,0,0,Pass,Flushed,0.00%,2558,794,1794,764,746,48,0,0.31,2.602504,0.90836,3352,668,414,306,226,180,152,142,150,152,168,176,182,124,186,78,22,10,10,6,0,0,0,0,0,0,0,0,0,0,0,20%,12%,9%,7%,5%,5%,4%,4%,5%,5%,5%,5%,4%,6%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.20,B0520 P,C,24.4,,5,0,0,45.3,445,1,Fail,Stagnant,1.49%,13824,16138,4108,9716,12664,3386,64,1.167,2.841061,0.933264,29962,732,700,758,862,1056,1390,1632,1666,2172,2856,3160,2884,2630,2312,1678,1328,628,532,508,390,40,14,4,4,2,4,2,6,12,0,2%,2%,3%,3%,4%,5%,5%,6%,7%,10%,11%,10%,9%,8%,6%,4%,2%,2%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.20,B0520 PF,C,24,,5,0.25,0.3,24,0,0,Pass,Flushed,0.00%,2048,290,1538,510,240,50,0,0.142,2.447829,0.882128,2338,570,344,260,202,162,134,104,110,66,96,74,60,54,30,22,20,12,10,4,4,0,0,0,0,0,0,0,0,0,0,24%,15%,11%,9%,7%,6%,4%,5%,3%,4%,3%,3%,2%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.20,B0520 YSW,D,26,,5,0,0,17.5,15,0,Pass,Stagnant,0.46%,2862,402,1678,1184,378,22,0,0.14,2.545594,0.913507,3264,296,298,328,380,376,370,264,218,152,180,168,104,72,20,14,14,4,4,0,0,0,0,0,0,0,0,2,0,0,0,9%,9%,10%,12%,12%,11%,8%,7%,5%,6%,5%,3%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.20,B0520 YSW F,D,25,,5,0.31,0.3,12.6,0,0,Pass,Flushed,0.00%,720,24,620,100,24,0,0,0.033,1.956022,0.797899,744,272,142,100,62,44,34,24,14,20,8,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37%,19%,13%,8%,6%,5%,3%,2%,3%,1%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.20,B0520 Huyen,F,23.8,,5,0,0,8,2,0,Pass,Stagnant,0.21%,894,54,740,154,50,4,0,0.06,2.05814,0.807863,948,330,212,84,66,48,38,36,42,24,14,14,4,14,6,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35%,22%,9%,7%,5%,4%,4%,4%,3%,1%,1%,0%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.20,B0520 Huyen F,F,23.7,,5,0.13,0.1,9.1,0,0,Pass,Flushed,0.00%,550,28,450,100,24,4,0,0.051,2.121421,0.823685,578,200,90,72,46,42,20,26,22,16,16,6,4,2,8,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,35%,16%,12%,8%,7%,3%,4%,4%,3%,3%,1%,1%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.20,B0520 Lee,H,24.6,,5,0,0,57.2,0,0,Pass,Stagnant,0.00%,1904,306,1266,638,294,12,0,0.161,2.534109,0.907663,2210,378,262,260,180,186,156,162,130,108,82,80,94,60,42,18,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,17%,12%,12%,8%,8%,7%,7%,6%,5%,4%,4%,4%,3%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 5.20,B0520 Lee F,H,24.4,,5,0.29,0.3,11.4,0,0,Pass,Flushed,0.00%,1268,174,906,362,166,8,0,0.137,2.410557,0.877265,1442,390,184,128,108,96,86,74,70,80,52,52,36,40,22,16,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,27%,13%,9%,7%,7%,6%,5%,5%,6%,4%,4%,2%,3%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 6.03,B0603 B,B,24.4,,6,0.01,0,52.7,125,1,Fail,Stagnant,0.25%,14252,36372,3672,10580,36050,314,6,2.552,2.202084,0.854232,50624,1078,852,682,568,492,590,808,1332,2852,4998,9056,11886,9168,5182,758,186,78,30,10,10,4,0,2,0,0,0,0,0,2,0,2%,2%,1%,1%,1%,1%,2%,3%,6%,10%,18%,23%,18%,10%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 6.03,B0603 BF,B,22.4,,6,0.15,0.2,16.3,0,0,Pass,Flushed,0.00%,2038,610,1054,984,594,16,0,0.299,2.641662,0.925234,2648,290,236,178,196,154,158,184,176,240,226,170,194,150,74,6,4,0,4,6,2,0,0,0,0,0,0,0,0,0,0,11%,9%,7%,7%,6%,6%,7%,7%,9%,9%,6%,7%,6%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 6.03,B0603 Park,C,27.3,,6,0.02,0,175.4,2218,1,Fail,Stagnant,4.25%,27190,25036,9110,18080,19830,5052,118,0.921,2.852602,0.936123,52226,1074,1278,1548,2290,2920,3618,3978,3468,3450,3566,4612,5180,4170,3292,2576,1982,1174,1022,608,266,68,22,12,4,12,16,16,0,4,0,2%,2%,3%,4%,6%,7%,8%,7%,7%,7%,9%,10%,8%,6%,5%,4%,2%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 6.03,B0603 Park F,C,23.2,,6,0.22,0.2,20.5,0,0,Pass,Flushed,0.00%,612,26,430,182,24,2,0,0.042,2.275664,0.878117,638,140,92,86,68,44,58,44,42,28,10,12,6,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22%,14%,13%,11%,7%,9%,7%,7%,4%,2%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 6.03,B0603 Kim,E,26.7,,6,0,0,48.7,0,0,Pass,Stagnant,0.00%,17742,494,13392,4350,446,44,2,0.028,2.181818,0.861731,18236,1390,1836,2774,3916,3476,1960,988,656,392,354,170,116,98,42,20,16,8,8,10,2,0,0,2,0,0,0,0,0,2,0,8%,10%,15%,21%,19%,11%,5%,4%,2%,2%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 6.03,B0603 Kim F,E,26.1,,6,0.22,0.2,12.3,0,0,Pass,Flushed,0.00%,640,22,550,90,20,2,0,0.034,2.025215,0.835976,662,190,114,94,76,76,42,26,20,2,0,4,6,6,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29%,17%,14%,11%,11%,6%,4%,3%,0%,0%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 6.03,B0603 A 우정,A,23.5,,6,0.01,0,13.1,0,0,Pass,Stagnant,0.00%,2608,464,1700,908,442,18,4,0.178,2.574619,0.914346,3072,422,366,310,302,300,230,188,150,196,144,136,148,94,48,16,8,2,4,4,0,2,0,0,2,0,0,0,0,0,0,14%,12%,10%,10%,10%,7%,6%,5%,6%,5%,4%,5%,3%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 6.03,B0603 A 우정 F,A,23,,6,0.06,0.1,9.4,0,0,Pass,Flushed,0.00%,790,22,676,114,20,2,0,0.028,1.983852,0.806643,812,288,144,108,76,60,44,24,24,10,12,6,2,4,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,35%,18%,13%,9%,7%,5%,3%,3%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 6.03,B0603 Tien,G,25.1,,6,0.01,0,16.6,0,0,Pass,Stagnant,0.00%,2622,210,1440,1182,208,2,0,0.08,2.486829,0.910565,2832,324,284,256,308,268,222,268,282,256,154,78,60,46,16,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11%,10%,9%,11%,9%,8%,9%,10%,9%,5%,3%,2%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 6.03,B0603 Tien F,G,24.9,,6,0.2,0.2,11.3,0,0,Pass,Flushed,0.00%,808,12,630,178,12,0,0,0.015,2.07112,0.84479,820,230,136,114,90,60,46,70,40,16,6,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28%,17%,14%,11%,7%,6%,9%,5%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
